id,name,b_exp,crit,final_crit,crit_res,final_crit_res,dodge,final_dodge,final_aspd,hit,final_hit,j_exp,m_def,final_m_def,final_m_dmg_bonus,final_m_dmg_res,m_dps,m_pen,final_m_pen,m_dmg_bonus,m_dmg_res,max_hp,loc_id,p_def,final_p_def,p_dps,final_p_dmg_bonus,final_p_dmg_res,final_p_pen,p_pen,p_reflect,p_dmg_res,p_dmg_bonus,level,res_id,description,zeny,size,attr,race,loc
10226,gibbet,395.0,917.0,0.3056,1375.0,0.489,458.0,0.2445,,596.0,0.3056,1184.0,1834.0,0.3056,0.153,-0.7029,250027.0,1375.0,0.458,6330.0,,19925388.0,1960.0,3667.0,0.6112,170018.0,0.31,-0.7029,0.153,458.0,,,3165.0,116.0,10226.0,相当诡异而邪恶的魔物，在吸收大量的灵魂后，就会结出如婴孩外形的果实。果实会在鬼娃树的枝头生长一段时间，期间需要不断吞噬灵魂来补充能量。直到果实成熟，便会自动脱落，掉入泥土中，成为种子孕育新的鬼娃树。,731.0,large,shadow,demi-human,鬼的峡谷
10227,zombie slaughter,550.0,1005.0,0.3351,1005.0,0.3351,2011.0,0.3351,,653.0,0.3351,550.0,2011.0,0.3351,0.335,-0.7708,43200.0,503.0,0.168,3737.0,,16060190.0,1970.0,2011.0,0.3351,63530.0,0.17,-0.7708,0.503,1508.0,,,7474.0,120.0,10227.0,在外形上与变异僵尸十分相似，但对于两者是否从属于同一类的魔物，至今学界仍有分歧。究其原因，大概是因为僵尸屠戮者总是毫不避讳对同类的攻击行为。而比起动作迟缓的变异僵尸，它们的行动力与智慧都更上一层楼，甚至能够使用简单的冷兵器。如果对自己的实力没有足够自信，就请不要去招惹它们。,765.0,medium,undead,undead,无名岛
10228,dullahan,508.0,858.0,0.286,858.0,0.286,1716.0,0.286,,558.0,0.286,508.0,1716.0,0.286,0.286,-0.6579,54537.0,429.0,0.146,2790.0,,11488986.0,1960.0,1716.0,0.286,80201.0,0.14,-0.6579,0.429,1287.0,,,5579.0,113.0,10228.0,有很多人好奇为何亡者国度遍地都是南瓜，但如果你曾遭遇过无颅武士的袭击，那就不会再有这样的疑惑了。这群凶恶的魔物总是在寻找自己丢失的头颅，热衷于将容貌相似者的首级砍下并收为己用。一旦被盯上，就只有将南瓜套在它们的脖子上，让它们误以为已经找到了自己的脑袋，才能借此躲过一劫。于是，尼芙菲姆的家家户户就都种起了南瓜……“没有脑子（打一种魔物）。”——选自《尼芙菲姆谜语精选集》，查询谜底请至附录。,705.0,medium,undead,undead,鬼的峡谷
10229,parasite,532.0,936.0,0.3121,1404.0,0.4994,468.0,0.2497,,609.0,0.3121,532.0,2809.0,0.4681,0.156,-0.7178,70829.0,1404.0,0.468,6589.0,,13911109.0,1930.0,2809.0,0.4681,48164.0,0.31,-0.7178,0.156,468.0,,,3294.0,117.0,10229.0,在雨檀族的传说中，灵魂树是由世界树的嫩芽栽种而成，而作为灵魂树的子嗣，苗娃也被视为是继承了世界树力量的精灵。它们拥有操纵草木的力量，能够结出带有特殊力量的果实，是噜噜卡森林中众多生灵的领导者。,739.0,medium,wind,plant,噜噜卡森林
10230,loli ruri,816.0,977.0,0.3257,1466.0,0.5211,489.0,0.2605,,635.0,0.3257,816.0,1954.0,0.3257,0.163,-0.7491,290736.0,1466.0,0.489,7135.0,,22863973.0,1950.0,3908.0,0.6514,197700.0,0.33,-0.7491,0.163,489.0,,,3567.0,119.0,10230.0,从可爱的外形来看，是与亡者国度完全不相符的魔物，不过银月魔女却是主动以某些代价和冥界女王换取了尼芙菲姆的居住权。这样的举动引起了诸多艺术家的旖旎遐想，大量作品也由此应运而生。“惧怕永夜与迷雾的少女，却为了心中挚爱而甘愿坠入地底世界 。啊，这是多么浪漫的人设……”正在取材的新锐作家一边阅读着银月魔女的传说，一边发出了由衷的感叹。,756.0,large,shadow,demi-human,亡者国度
10231,banshee,658.0,917.0,0.3056,1375.0,0.489,458.0,0.2445,,596.0,0.3056,395.0,2751.0,0.4584,0.153,-0.7029,45891.0,1375.0,0.458,6330.0,,13283592.0,1970.0,2751.0,0.4584,31206.0,0.31,-0.7029,0.153,458.0,,,3165.0,116.0,10231.0,传说中能够预言死亡的魔物，会穿着由尸布制成的衣物，在黑夜中散播死亡降临的讯号，因而被人们视为噩兆的象征。但实际上，女妖几乎不会主动袭击人类，只是受死亡气息的吸引而恸声哭泣罢了。,731.0,medium,shadow,demi-human,无名岛
10232,dragon tail,386.0,878.0,0.2928,1318.0,0.4685,439.0,0.2342,,571.0,0.2928,643.0,1757.0,0.4601,0.146,-0.66139,62664.0,1318.0,0.439,5829.0,,12081230.0,1930.0,3514.0,0.5856,42611.0,0.29,-0.66139,0.146,439.0,,,2915.0,114.0,10232.0,刺猬蜻蜓是一种十分温顺的魔物，但绝不能因此就小瞧它们的破坏力。成年的刺猬蜻蜓会在破蛹后获得强壮的尾刺，这是它们最具有攻击性的武器。而那双在阳光下熠熠生辉的翅膀，则是偷猎者的最爱。一副完整的“流光翼翅”仅够织出两个指节大小的薄纱，却能在黑市上卖出与黄金相同的高价。,714.0,medium,wind,insect,噜噜卡森林
10233,dryad,650.0,898.0,0.2992,1346.0,0.4787,449.0,0.2393,,583.0,0.2992,390.0,3590.0,0.5984,0.15,-0.6881,191414.0,1346.0,0.449,6077.0,,12673734.0,1920.0,1795.0,0.2992,130161.0,0.3,-0.6881,0.15,449.0,,,3038.0,115.0,10233.0,拥有与人类高度相似的外表，实际上却是由树木化身的魔物。在习性上仍与植物十分相似，会寻找阳光充沛之处将自己的根须埋入土壤中，以此来补充能量。,722.0,medium,earth,plant,沪家丛林
10234,stone shooter,599.0,936.0,0.3121,1404.0,0.4994,468.0,0.2497,,609.0,0.3121,998.0,1873.0,0.3121,0.312,-0.7178,269940.0,468.0,0.156,3294.0,,20866664.0,1920.0,3745.0,0.6242,396971.0,0.16,-0.7178,0.468,1404.0,,,6589.0,117.0,10234.0,石炮火树在制作方式上与机木人十分相似，它们的身体由精密的机械构成，外表却被伪装成了植物系的魔物。但与寿命漫长的机木人不同，石炮火树所储存的能量十分有限，每一次攻击都会有所损耗。当身体中的能量用尽，它们的生命也就迎来了终结。“燃烧生命……绽放花火！”游历至此的某位吟游诗人在见证石炮火树的死亡后，突然诗兴大发。,739.0,large,fire,plant,沪家丛林
10235,driller,404.0,957.0,0.3191,1436.0,0.5105,479.0,0.2553,,622.0,0.3191,135.0,2872.0,0.4786,0.16,-0.7339,74355.0,1436.0,0.479,6864.0,,7288955.0,1920.0,2872.0,0.4786,50561.0,0.32,-0.7339,0.16,479.0,,,3432.0,118.0,10235.0,比起普通的伞蜥，拥有更加坚韧的外皮及爪牙，以确保它们能够挖掘泥土深层的虫卵为食。不喜阳光，总是在潮湿阴暗的地方活动，在遭遇危险时会将颈部的伞状领圈皮膜打开，用来威慑对手。有夏眠的习惯，一旦天气变热，就会寻找阴凉隐蔽的树洞，做个漫长的好梦。,748.0,small,earth,brute,沪家丛林
10236,wooden golem,377.0,839.0,0.2798,1259.0,0.4476,420.0,0.2238,,546.0,0.2798,1130.0,1679.0,0.2798,0.14,-0.6435,217742.0,1259.0,0.42,5343.0,,16396664.0,1920.0,3357.0,0.5595,148064.0,0.28,-0.6435,0.14,420.0,,,2672.0,112.0,10236.0,虽然被划分为魔物，但机木人实际上却更像是一座精密的仪器。它们会日复一日完成固定的行程，无人知晓究竟是谁为它们设定了这样的程序。曾有人解剖过死亡的机木人，并在它们的身体中发现了一颗奇特的齿轮核心。齿轮拥有等分的二十四个轮齿，旋转一圈便是完整一日，而每天的零点，核心又会回归原位，再次开始新一轮的循环……“它们永远不会死亡，却也永远只拥有一天的生命。”游历至此的某位吟游诗人在见证机木人的完整一天后，突然诗兴大发。,697.0,large,earth,plant,沪家丛林
